"Geography (5,6)",2015,2016
Abbotsford-Mission [59932] ,7,7
Barrie [35568] ,0,1
Brantford [35543] ,5,5
Calgary [48825] ,68,53
Edmonton [48835] ,81,50
Gatineau [24505]  (8),8,3
Greater Sudbury [35580] ,1,2
Guelph [35550] ,0,10
Halifax [12205] ,8,3
Hamilton [35537]  (9),55,70
Kelowna [59915] ,3,1
Kingston [35521] ,8,7
Kitchener-Cambridge-Waterloo [35541] ,51,19
London [35555] ,20,17
Moncton [13305]  (10),2,8
Montréal [24462] ,169,194
Ottawa [35505]  (11),73,96
Peterborough [35529] ,9,5
Québec [24421] ,28,57
Regina [47705] ,1,11
Saguenay [24408] ,5,3
Saint John [13310]  (10),3,2
Saskatoon [47725] ,7,5
Sherbrooke [24433] ,8,4
St. Catharines-Niagara [35539] ,9,11
St. John's [10001] ,1,1
Thunder Bay [35595] ,27,10
Toronto [35535]  (12),295,290
Trois-Rivières [24442] ,2,2
Vancouver [59933] ,116,146
Victoria [59935] ,7,17
Windsor [35559] ,4,10
Winnipeg [46602] ,25,21
